loc,title,institution,start,end,description_1,description_2,description_3,section,order
[Sylvain Delzon's lab ](http://sylvain-delzon.com/),"Postdoc - Plant hydraulics & trait trade-offs, forest ecology and biogeography","INRAE, Bordeaux, France",2021,9999,"Using big trait databases and forest inventory data, we are investigating how plant functional traits (embolism resistance, frost tolerance) interact and how they shape tree species distributions and forest dynamics and ecology.",NA,NA,research_positions,NA
[Frederic Lens's lab ](https://www.naturalis.nl/en/functional-traits),"Postdoc - Herb hydraulics, positive root pressure and drought resistance in Brassicaceae","Naturalis, Leiden, The Netherlands",2019,2021,"This project combines classical plant hydraulics adapted to non-woody species with xylem anatomy, micro-CT and modeling to obtain a holistic picture of herb hydraulics during drought. We are notably looking at positive root pressure, which has been hypothesized to aid in recovering from drought by refilling embolised xylem conduits.",NA,NA,research_positions,NA
[Stacey Smith's lab ](https://www.colorado.edu/smithlab/), "Postdoc - Evolution of the anthocyanin pathway in Iochrominae","University of Colorado, Boulder, USA",2017,2019,"In Iochrominae, several lineages have independently lost floral anthocyanin pigmentation altogether, resulting in white or yellow flowers. We found that the mechanism behind these fixed evolutionary losses is convergent down-expression in three downstream genes of the pigment biosynthetic pathway.",NA,NA,research_positions,NA
[Sylvain Delzon's lab ](http://sylvain-delzon.com/),"PhD - Evolution of cavitation resistance in conifers","Université de Bordeaux, France",2012,2016,"This thesis expands our understanding of the evolution of vascular plants regarding severe drought. We show that embolism resistance varies 9-fold across over 250 conifer species, thanks to changes in bordered-pit anatomy. Combining this unprecedented database with a calibrated phylogeny, we link embolism resistance evolution to increased diversification rate. Furthermore, we describe the remarkable evolution of *Callitris* xylem during the aridification of Australia over the last 30 million years.",*Supervisors*: Sylvain Delzon and Jean-Christophe Domec,NA,research_positions,NA
"*Supervisor*: Sylvain Delzon","Research assistant - Evolutionary patterns of cavitation resistance in conifers (6 months)","Université de Bordeaux, France",2012,2012,NA,NA,NA,research_positions,NA
"*Supervisor*: Sylvain Delzon","MSc thesis - Convergent evolution of drought tolerance in conifers (6 months)","Université de Bordeaux, France",2011,2011,NA,NA,NA,research_positions,NA
"*Supervisor*: Guillaume Besnard","MSc thesis - Population genetics of the olive (*Olea europaea*) complex (2 months)","Imperial College London, UK",2010,2010,NA,NA,NA,research_positions,NA
Université de Bordeaux,"PhD in evolutionary, functional and community ecology.<br/> *Thesis*: Evolution of cavitation resistance in conifers","Bordeaux, France",2012,2016,*Supervisors*: Sylvain Delzon and Jean-Christophe Domec,NA,NA,education,1
Université de Bordeaux,"MSc - Terrestrial Ecosystem Functioning and Modelling","Bordeaux, France",2010,2011,NA,NA,NA,education,2
"Université d'Orléans","BSc - Organismal Biology","Orléans, France",2005,2008,NA,NA,NA,education,3
NA,"A Thonglim, G Bortolami, S Delzon, **M Larter**, R Offringa, F Lens et al. (2022) Drought response in Arabidopsis displays synergistic coordination between stems and leaves, *Journal of Experimental Botany.* [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Thonglim_et_al_2022_JExpBot.pdf)",NA,2022,2022,NA,NA,NA,academic_articles,NA
NA,"Y Song, XP Bouteiller, **M Larter**, C Plomion, F Sin, S Delzon, (2022) A safe breeding ground: genetically improved maritime pine for growth and stem form has more efficient but not more vulnerable xylem, *Tree Physiology* [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Song_et_al_2022_TreePhys_Safe_breeding_ground_maritime_pine.pdf)",NA,2022,2022,NA,NA,NA,academic_articles,NA
NA,"A Hooft van Huysduynen, S Janssens, V Merckx, R Vos, L Valente, **M Larter** et al. (2021) Temporal and palaeoclimatic context of the evolution of insular woodiness in the Canary Islands, *Ecology and Evolution* [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Hooft%20et%20al%202021%20ECE%20-%20Canaries.pdf)",NA,2021,2021,NA,NA,NA,academic_articles,NA
NA,"A Thonglim, S Delzon, **M Larter**, O Karami, A Rahimi, R Offringa et al. (2020) Intervessel pit membrane thickness best explains variation in embolism resistance amongst stems of Arabidopsis thaliana accessions, *Annals of Botany.* [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Thonglim%20et%20al%202020%20AOB.pdf)",NA,2020,2020,NA,NA,NA,academic_articles,NA
NA,"**M Larter**, A Dunbar-Wallis, AE Berardi, SD Smith (2019) Developmental control of convergent floral pigmentation across evolutionary timescales, *Developmental dynamics*, 248 (11), 1091-1100. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter%20et%20al%202019%20DVDY%20-%20Developmental%20control%20of%20convergent%20floral%20pigmentation%20across%20evolutionary%20timescales.pdf)",NA,2019,2019,NA,NA,NA,academic_articles,NA
NA,"R Deanna, **M Larter**, GE Barboza, SD Smith (2019) Repeated evolution of a morphological novelty: a phylogenetic analysis of the inflated fruiting calyx in the Physalideae tribe (Solanaceae), *American Journal of Botany*, 106 (2), 270-279. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Deanna%20et%20al%202019%20AmJBot%20-%20Repeated%20evolution%20of%20a%20morphological%20novelty%20a%20phylogenetic%20analysis%20of%20the%20inflated%20fruiting%20calyx%20in%20the%20Physalideae%20tribe%20(Solanaceae).pdf)",NA,2019,2019,NA,NA,NA,academic_articles,NA
NA,"**M Larter**, A Dunbar-Wallis, AE Berardi, SD Smith (2018) Convergent evolution at the pathway level: predictable regulatory changes during flower color transitions, *Molecular biology and evolution*, 35 (9), 2159-2169. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter%20et%20al%202018%20MBE%20-%20Convergent%20evolution%20at%20the%20pathway%20level%20predictable%20regulatory%20changes%20during%20flower%20color%20transitions.pdf)",NA,2018,2018,NA,NA,NA,academic_articles,NA
NA,"**M Larter**, S Pfautsch, JC Domec, S Trueba, N Nagalingum, S Delzon (2017) Aridity drove the evolution of extreme embolism resistance and the radiation of conifer genus Callitris, *New Phytologist*, 215 (1), 97-112. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter_et_al_2017_New_Phytologist%20Aridity%20drove%20the%20evolution%20of%20extreme%20embolism%20resistance%20and%20the%20radiation%20of%20conifer%20genus%20Callitris.pdf)",NA,2017,2017,NA,NA,NA,academic_articles,NA
NA,"C Sáenz-Romero, **M Larter**, N González-Muñoz, C Wehenkel et al. (2017) Mexican conifers differ in their capacity to face climate change, *Journal of Plant Hydraulics*, 4, e003. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Saenz-Romero%20et%20al.%202017%20JPH%20Mexican%20conifers%20differ%20in%20their%20capacity%20to%20face%20climate%20change.pdf)",NA,2017,2017,NA,NA,NA,academic_articles,NA
NA,"B Castagneyrol, H Jactel, EG Brockerhoff, N Perrette, **M Larter**, S Delzon et al. (2016) Host range expansion is density dependent, *Oecologia*, 182 (3), 779-788. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Castagneyrol%202016%20Oecologia%20Host%20range%20expansion%20is%20density%20dependent.pdf)",NA,2016,2016,NA,NA,NA,academic_articles,NA
NA,"**M Larter** (2016) The evolution of cavitation resistance in conifers. *Université de Bordeaux, PhD Thesis* [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter_2016_PhD%20Thesis.pdf)",NA,2016,2016,NA,NA,NA,academic_articles,NA
NA,"**M Larter**, TJ Brodribb, S Pfautsch, R Burlett, H Cochard, S Delzon (2015) Extreme aridity pushes trees to their physical limits, *Plant Physiology*, 168 (3), 804-807. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter%20et%20al%202015%20Plant%20Phys%20Extreme%20aridity%20pushes%20trees%20to%20their%20physical%20limits.pdf)",NA,2015,2015,NA,NA,NA,academic_articles,NA
NA,"PS Bouche, **M Larter**, JC Domec, R Burlett, P Gasson, S Jansen, S Delzon (2014) A broad survey of hydraulic and mechanical safety in the xylem of conifers, *Journal of Experimental Botany*, 65 (15), 4419-4431. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Bouche%20et%20al%20J%20Exp%20Bot%20-%202014%20A%20broad%20survey%20of%20hydraulic%20and%20mechanical%20safety%20in%20the%20xylem%20of%20conifers.pdf)",NA,2014,2014,NA,NA,NA,academic_articles,NA
NA,"G Besnard, J Dupuy, **M Larter**, P Cuneo, D Cooke, L Chikhi. (2014) History of the invasive African olive tree in Australia and Hawaii: evidence for sequential bottlenecks and hybridization with the Mediterranean olive, *Evolutionary Applications*, 7 (2), 195-211. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Besnard_et_al-2014-Evolutionary_Applications_History_of_the_invasive_African_olive_tree_in_Australia_and_Hawaii_bottlenecks.pdf)",NA,2014,2014,NA,NA,NA,academic_articles,NA
NA,"**M Larter**, Le Pinetum de Bedgebury: la plus belle collection de conifères du monde, *Jardins de France*. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter%20-%202013%20-%20Le%20Pinetum%20de%20Bedgebury%20-%20Jardins%20de%20France.pdf)",NA,2013,2013,NA,NA,NA,Outreach_Press_by_me,NA
NA,"**M Larter**, P Bouche, Les conifères, une famille à évolution complexe, *Jardins de France*. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Bouche%20Larter%20-%202013%20-%20Les%20conif%C3%A8res%2C%20une%20famille%20%C3%A0%20%C3%A9volution%20complexe%20-%20Jardins%20de%20France.pdf) <br/>",NA,2013,2013,NA,NA,NA,Outreach_Press_by_me,NA
MSc course Plant Physiology,Lecture (1h) - The evolution of secondary woodiness,Université de Bordeaux,2021,2021,NA,NA,NA,Teaching_Experience,NA
MSc course Methods in Biodiversity Analysis,Lecture (30 min) - Functional traits case study,Leiden University,2020,2020,NA,NA,NA,Teaching_Experience,NA
MSc course Plant Physiology,"Practical - plant physiology ""lab day""",Université de Bordeaux,2012,2012,NA,NA,NA,Teaching_Experience,NA
"Research assistant P. Colombet","Supervision of student project (shared, 6 months) <br/>Climatic tolerance of city trees",Université de Bordeaux,2022,2022,NA,NA,NA,Teaching_Experience,NA
"BSc student C Payne","Supervision of part time student project (6 months) <br/>Embolism resistance of Mediterranean trees",Université de Bordeaux,2022,2022,NA,NA,NA,Teaching_Experience,NA
"MSc student J van Haasteren","Supervision of student project (6 months) <br/>Response to drought of a giant woody cabbage cross",Leiden University,2020,2020,NA,NA,NA,Teaching_Experience,NA
"MBO student H Hereijgers","Supervision of student project (6 months) <br/>Xylem anatomy of embolism resistant Conifer species",Hogeschool Inholland Delft,2021,2021,NA,NA,NA,Teaching_Experience,NA
"BSc student C van Kessel","Supervision of student project (6 months) <br/>Xylem anatomy in relation to embolism resistance in Cupressaceae",Leiden University,2020,2020,NA,NA,NA,Teaching_Experience,NA
Xylem International Meeting XIM5,Talk - "Trade off in cold and drought tolerance in trees",Wurzburg (Germany),2022,2022,NA,NA,NA,Conferences_Presentations,NA
Society for Integrative and Comparative Biology,Poster - "Genetic basis of convergent evolution of the anthocyanin pathway and floral pigmentation in Iochrominae","Tampa, Florida",2019,2019,NA,NA,NA,Conferences_Presentations,NA
Evolution Meeting,Talk - "Linking changes in gene expression to the macroevolution of flower color in Iochrominae (Solanaceae)","Portland, Oregon",2017,2017,NA,NA,NA,Conferences_Presentations,NA
LabEx Day (LabEx COTE),Talk - "Evolution of drought tolerance in conifers - *Callitris* in Australia ",Bordeaux (France),2015,2015,NA,NA,NA,Conferences_Presentations,NA
Xylem International Meeting XIM2,Talk - "The evolution of cavitation resistance in conifers and the case of world-record *Callitris*",Bordeaux (France),2015,2015,NA,NA,NA,Conferences_Presentations,NA
HIE Seminar Series - UWS,Talk - "The evolution of cavitation resistance in Conifers","Richmond, NSW (Australia)",2014,2014,NA,NA,NA,Conferences_Presentations,NA
Journées de la Société Française de Systématique,Poster - "Global variation and evolution of drought tolerance in Conifers",Paris (France),2012,2012,NA,NA,NA,Conferences_Presentations,NA
JOCK S.A.,warehouseman & production line operator (food packaging),Bordeaux (France),2008,2009,NA,NA,NA,Other_work_xp,NA
"3,000€",External mobility grant from the COTE Cluster of Excellence,Bordeaux (France),2014,2014,NA,NA,NA,Grants_&_funding,NA
"AU$3350 <br/>",Research Exchange Program (Inbound),"Western Sydney University, NSW (Australia)",2014,2014,NA,NA,NA,Grants_&_funding,NA
"1,250€",Alberta Mennega Stichting fieldwork grant,Leiden (The Netherlands),2020,2020,NA,NA,NA,Grants_&_funding,NA
NA,""Three minute thesis" - MT180 Final	Université de Bordeaux - [view on Youtube](https://www.youtube.com/watch?v=nC1bzO36ZMA&ab_channel=Universit%C3%A9deBordeaux)",NA,2016,2016,NA,NA,NA,Outreach_Press_by_me,NA
